date,quarter_end,period_covered,fiscal_quarter,revenue_billions,aapl_reported_revenue,source,comments
7/21/2015,6/27/2015,Apr-Jun 2015,2015 Q3,49.605,49.605B,Bloomberg,
4/27/2015,3/28/2015,Jan-Mar 2015,2015 Q2,58.01,58.010B,Bloomberg,
1/27/2015,12/27/2014,Oct-Dec 2014,2015 Q1,74.599,74.599B,Bloomberg,
10/20/2014,9/27/2014,Jul-Sep 2014,2014 Q4,42.123,42.123B,Bloomberg,
7/22/2014,6/28/2014,Apr-Jun 2014,2014 Q3,37.432,37.432B,Bloomberg,
4/23/2014,3/29/2014,Jan-Mar 2014,2014 Q2,45.646,45.646B,Bloomberg,
1/27/2014,12/28/2013,Oct-Dec 2013,2014 Q1,57.594,57.594B,Bloomberg,
10/28/2013,9/28/2013,Jul-Sep 2013,2013 Q4,37.472,37.472B,Bloomberg,
7/23/2013,6/29/2013,Apr-Jun 2013,2013 Q3,35.323,35.323B,Bloomberg,
4/23/2013,3/30/2013,Jan-Mar 2013,2013 Q2,43.603,43.603B,Bloomberg,
1/23/2013,12/29/2012,Oct-Dec 2012,2013 Q1,54.512,54.512B,Bloomberg,
10/28/2012,9/29/2012,Jul-Sep 2012,2012 Q4,35.966,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
7/23/2012,6/30/2012,Apr-Jun 2012,2012 Q3,35.023,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
4/23/2012,3/31/2012,Jan-Mar 2012,2012 Q2,39.186,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
1/24/2012,12/31/2011,Oct-Dec 2011,2012 Q1,46.333,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
10/29/2011,9/24/2011,Jul-Sep 2011,2011 Q4,28.27,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
7/24/2011,6/25/2011,Apr-Jun 2011,2011 Q3,28.571,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
4/24/2011,3/26/2011,Jan-Mar 2011,2011 Q2,24.667,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
1/24/2011,12/25/2010,Oct-Dec 2010,2011 Q1,26.741,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
10/29/2010,9/25/2010,Jul-Sep 2010,2010 Q4,20.343,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
7/24/2010,6/26/2010,Apr-Jun 2010,2010 Q3,15.7,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
4/24/2010,3/27/2010,Jan-Mar 2010,2010 Q2,13.499,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
1/24/2010,12/26/2009,Oct-Dec 2009,2010 Q1,15.683,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
10/29/2009,9/26/2009,Jul-Sep 2009,2009 Q4,12.207,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
7/24/2009,6/27/2009,Apr-Jun 2009,2009 Q3,9.734,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
4/24/2009,3/28/2009,Jan-Mar 2009,2009 Q2,9.084,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
1/24/2009,12/27/2008,Oct-Dec 2008,2009 Q1,11.88,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
10/29/2008,9/27/2008,Jul-Sep 2008,2008 Q4,11.52,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
7/24/2008,6/28/2008,Apr-Jun 2008,2008 Q3,7.561,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
4/24/2008,3/29/2008,Jan-Mar 2008,2008 Q2,7.98,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
1/25/2008,12/29/2007,Oct-Dec 2007,2008 Q1,10.43,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
10/30/2007,9/29/2007,Jul-Sep 2007,2007 Q4,6.606,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
7/25/2007,6/30/2007,Apr-Jun 2007,2007 Q3,5.563,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
4/25/2007,3/31/2007,Jan-Mar 2007,2007 Q2,5.286,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
1/25/2007,12/30/2006,Oct-Dec 2006,2007 Q1,7.123,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
10/30/2006,9/30/2006,Jul-Sep 2006,2006 Q4,4.837,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
7/25/2006,7/1/2006,Apr-Jun 2006,2006 Q3,4.37,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
4/25/2006,4/1/2006,Jan-Mar 2006,2006 Q2,4.359,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
1/25/2006,12/31/2005,Oct-Dec 2005,2006 Q1,5.749,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
10/30/2005,9/24/2005,Jul-Sep 2005,2005 Q4,3.678,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
7/25/2005,6/25/2005,Apr-Jun 2005,2005 Q3,3.52,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
4/25/2005,3/26/2005,Jan-Mar 2005,2005 Q2,3.243,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
1/25/2005,12/25/2004,Oct-Dec 2004,2005 Q1,3.49,,"Apple SEC filings (10-K, 10-Q, 8-K earnings releases). Figures are Apple's fiscal quarters — Q1 covers Oct–Dec.",
,,,,,,,
