ADDRESS,CAMERA ID,VIOLATION DATE,VIOLATIONS,comments
1111 N HUMBOLDT,CHI010,41919,49,
1111 N HUMBOLDT,CHI010,41920,65,
1111 N HUMBOLDT,CHI010,41921,67,
1111 N HUMBOLDT,CHI010,41922,65,
1111 N HUMBOLDT,CHI010,41923,91,
1111 N HUMBOLDT,CHI010,41924,86,
1111 N HUMBOLDT,CHI010,41925,42,
1111 N HUMBOLDT,CHI010,41926,27,
1111 N HUMBOLDT,CHI010,41927,45,
1111 N HUMBOLDT,CHI010,41928,54,
1111 N HUMBOLDT,CHI010,41929,74,
1111 N HUMBOLDT,CHI010,41930,71,
1111 N HUMBOLDT,CHI010,41931,83,
1111 N HUMBOLDT,CHI010,41932,41,
1111 N HUMBOLDT,CHI010,41933,51,
1111 N HUMBOLDT,CHI010,41934,49,
1111 N HUMBOLDT,CHI010,41935,65,
1111 N HUMBOLDT,CHI010,41936,84,
1111 N HUMBOLDT,CHI010,41937,90,
1111 N HUMBOLDT,CHI010,41938,86,
1111 N HUMBOLDT,CHI010,41939,64,
1111 N HUMBOLDT,CHI010,41940,81,
1111 N HUMBOLDT,CHI010,41941,62,
1111 N HUMBOLDT,CHI010,41942,59,
1111 N HUMBOLDT,CHI010,41943,50,
1111 N HUMBOLDT,CHI010,41944,95,
1111 N HUMBOLDT,CHI010,41945,79,
1111 N HUMBOLDT,CHI010,41946,52,
1111 N HUMBOLDT,CHI010,41947,66,
1111 N HUMBOLDT,CHI010,41948,57,
1111 N HUMBOLDT,CHI010,41949,67,
1111 N HUMBOLDT,CHI010,41950,79,
1111 N HUMBOLDT,CHI010,41951,84,
1111 N HUMBOLDT,CHI010,41952,72,
1111 N HUMBOLDT,CHI010,41953,63,
1111 N HUMBOLDT,CHI010,41954,44,
1111 N HUMBOLDT,CHI010,41955,72,
1111 N HUMBOLDT,CHI010,41956,55,
1111 N HUMBOLDT,CHI010,41957,66,
1111 N HUMBOLDT,CHI010,41958,111,
1111 N HUMBOLDT,CHI010,41959,82,
1111 N HUMBOLDT,CHI010,41960,40,
1111 N HUMBOLDT,CHI010,41961,57,
1111 N HUMBOLDT,CHI010,41962,60,
1111 N HUMBOLDT,CHI010,41963,60,
1111 N HUMBOLDT,CHI010,41964,64,
1111 N HUMBOLDT,CHI010,41965,57,
1111 N HUMBOLDT,CHI010,41966,30,
1111 N HUMBOLDT,CHI010,41967,25,
1111 N HUMBOLDT,CHI010,41968,86,
1111 N HUMBOLDT,CHI010,41969,95,
1111 N HUMBOLDT,CHI010,41970,116,
1111 N HUMBOLDT,CHI010,41971,110,
1111 N HUMBOLDT,CHI010,41972,94,
1111 N HUMBOLDT,CHI010,41973,88,
1111 N HUMBOLDT,CHI010,41974,78,
1111 N HUMBOLDT,CHI010,41975,78,
1111 N HUMBOLDT,CHI010,41976,74,
1111 N HUMBOLDT,CHI010,41977,72,
1111 N HUMBOLDT,CHI010,41978,73,
1111 N HUMBOLDT,CHI010,41979,117,
1111 N HUMBOLDT,CHI010,41980,108,
1111 N HUMBOLDT,CHI010,41981,33,
1111 N HUMBOLDT,CHI010,41982,36,
1111 N HUMBOLDT,CHI010,41983,44,
1111 N HUMBOLDT,CHI010,41984,58,
1111 N HUMBOLDT,CHI010,41985,80,
1111 N HUMBOLDT,CHI010,41986,105,
1111 N HUMBOLDT,CHI010,41987,102,
1111 N HUMBOLDT,CHI010,41988,48,
1111 N HUMBOLDT,CHI010,41989,56,
1111 N HUMBOLDT,CHI010,41990,45,
1111 N HUMBOLDT,CHI010,41991,57,
1111 N HUMBOLDT,CHI010,41992,66,
1111 N HUMBOLDT,CHI010,41993,69,
1111 N HUMBOLDT,CHI010,41994,64,
1111 N HUMBOLDT,CHI010,41995,37,
1111 N HUMBOLDT,CHI010,41996,27,
1111 N HUMBOLDT,CHI010,41997,61,
1111 N HUMBOLDT,CHI010,41998,82,
1111 N HUMBOLDT,CHI010,41999,84,
1111 N HUMBOLDT,CHI010,42000,79,
1111 N HUMBOLDT,CHI010,42001,77,
1111 N HUMBOLDT,CHI010,42002,77,
1111 N HUMBOLDT,CHI010,42003,71,
1111 N HUMBOLDT,CHI010,42004,78,
1111 N HUMBOLDT,CHI010,42005,43,
1111 N HUMBOLDT,CHI010,42006,62,
1111 N HUMBOLDT,CHI010,42007,27,
1111 N HUMBOLDT,CHI010,42008,14,
1111 N HUMBOLDT,CHI010,42009,20,
1111 N HUMBOLDT,CHI010,42010,34,
1111 N HUMBOLDT,CHI010,42011,18,
1111 N HUMBOLDT,CHI010,42012,11,
1111 N HUMBOLDT,CHI010,42013,33,
1111 N HUMBOLDT,CHI010,42014,54,
1111 N HUMBOLDT,CHI010,42015,34,
1111 N HUMBOLDT,CHI010,42016,37,
1111 N HUMBOLDT,CHI010,42017,28,
1111 N HUMBOLDT,CHI010,42018,38,
1111 N HUMBOLDT,CHI010,42019,33,
1111 N HUMBOLDT,CHI010,42020,54,
1111 N HUMBOLDT,CHI010,42021,60,
1111 N HUMBOLDT,CHI010,42022,52,
1111 N HUMBOLDT,CHI010,42023,40,
1111 N HUMBOLDT,CHI010,42024,39,
1111 N HUMBOLDT,CHI010,42025,35,
1111 N HUMBOLDT,CHI010,42026,19,
1111 N HUMBOLDT,CHI010,42027,29,
1111 N HUMBOLDT,CHI010,42028,45,
1111 N HUMBOLDT,CHI010,42029,22,
1111 N HUMBOLDT,CHI010,42030,36,
1111 N HUMBOLDT,CHI010,42031,48,
1111 N HUMBOLDT,CHI010,42032,37,
1111 N HUMBOLDT,CHI010,42033,37,
1111 N HUMBOLDT,CHI010,42034,36,
1111 N HUMBOLDT,CHI010,42035,57,
1111 N HUMBOLDT,CHI010,42037,15,
1111 N HUMBOLDT,CHI010,42038,28,
1111 N HUMBOLDT,CHI010,42039,13,
1111 N HUMBOLDT,CHI010,42040,28,
1111 N HUMBOLDT,CHI010,42041,47,
1111 N HUMBOLDT,CHI010,42042,50,
1111 N HUMBOLDT,CHI010,42043,40,
1111 N HUMBOLDT,CHI010,42044,22,
1111 N HUMBOLDT,CHI010,42045,35,
1111 N HUMBOLDT,CHI010,42046,35,
1111 N HUMBOLDT,CHI010,42047,51,
1111 N HUMBOLDT,CHI010,42048,38,
1111 N HUMBOLDT,CHI010,42049,67,
1111 N HUMBOLDT,CHI010,42050,31,
1111 N HUMBOLDT,CHI010,42051,44,
1111 N HUMBOLDT,CHI010,42052,49,
1111 N HUMBOLDT,CHI010,42053,44,
1111 N HUMBOLDT,CHI010,42054,52,
1111 N HUMBOLDT,CHI010,42055,51,
1111 N HUMBOLDT,CHI010,42056,35,
1111 N HUMBOLDT,CHI010,42057,56,
1111 N HUMBOLDT,CHI010,42058,40,
1111 N HUMBOLDT,CHI010,42059,41,
1111 N HUMBOLDT,CHI010,42060,43,
1111 N HUMBOLDT,CHI010,42061,28,
1111 N HUMBOLDT,CHI010,42062,39,
1111 N HUMBOLDT,CHI010,42063,91,
1111 N HUMBOLDT,CHI010,42064,49,
1111 N HUMBOLDT,CHI010,42065,48,
1111 N HUMBOLDT,CHI010,42066,37,
1111 N HUMBOLDT,CHI010,42067,52,
1111 N HUMBOLDT,CHI010,42068,65,
1111 N HUMBOLDT,CHI010,42069,43,
1111 N HUMBOLDT,CHI010,42070,78,
1111 N HUMBOLDT,CHI010,42071,59,
1111 N HUMBOLDT,CHI010,42072,41,
1111 N HUMBOLDT,CHI010,42073,47,
1111 N HUMBOLDT,CHI010,42074,42,
1111 N HUMBOLDT,CHI010,42075,54,
1111 N HUMBOLDT,CHI010,42076,48,
1111 N HUMBOLDT,CHI010,42077,85,
1111 N HUMBOLDT,CHI010,42078,62,
1111 N HUMBOLDT,CHI010,42079,39,
1111 N HUMBOLDT,CHI010,42080,59,
1111 N HUMBOLDT,CHI010,42081,50,
1111 N HUMBOLDT,CHI010,42082,54,
1111 N HUMBOLDT,CHI010,42083,56,
1111 N HUMBOLDT,CHI010,42084,66,
1111 N HUMBOLDT,CHI010,42085,56,
1111 N HUMBOLDT,CHI010,42086,20,
1111 N HUMBOLDT,CHI010,42087,57,
1111 N HUMBOLDT,CHI010,42088,44,
1111 N HUMBOLDT,CHI010,42089,51,
1111 N HUMBOLDT,CHI010,42090,61,
1111 N HUMBOLDT,CHI010,42091,78,
1111 N HUMBOLDT,CHI010,42092,54,
1111 N HUMBOLDT,CHI010,42093,43,
1111 N HUMBOLDT,CHI010,42094,38,
1111 N HUMBOLDT,CHI010,42095,63,
1111 N HUMBOLDT,CHI010,42096,35,
1111 N HUMBOLDT,CHI010,42097,71,
1111 N HUMBOLDT,CHI010,42098,70,
1111 N HUMBOLDT,CHI010,42099,82,
1111 N HUMBOLDT,CHI010,42100,54,
1111 N HUMBOLDT,CHI010,42101,45,
1111 N HUMBOLDT,CHI010,42102,44,
1111 N HUMBOLDT,CHI010,42103,31,
1111 N HUMBOLDT,CHI010,42104,67,
1111 N HUMBOLDT,CHI010,42105,75,
1111 N HUMBOLDT,CHI010,42106,62,
1111 N HUMBOLDT,CHI010,42107,40,
1111 N HUMBOLDT,CHI010,42108,38,
1111 N HUMBOLDT,CHI010,42109,50,
1111 N HUMBOLDT,CHI010,42110,55,
1111 N HUMBOLDT,CHI010,42111,77,
1111 N HUMBOLDT,CHI010,42112,77,
1111 N HUMBOLDT,CHI010,42113,63,
1111 N HUMBOLDT,CHI010,42114,52,
1111 N HUMBOLDT,CHI010,42115,52,
1111 N HUMBOLDT,CHI010,42116,43,
1111 N HUMBOLDT,CHI010,42117,56,
1111 N HUMBOLDT,CHI010,42118,54,
1111 N HUMBOLDT,CHI010,42119,71,
1111 N HUMBOLDT,CHI010,42120,89,
1111 N HUMBOLDT,CHI010,42121,74,
1111 N HUMBOLDT,CHI010,42122,59,
1111 N HUMBOLDT,CHI010,42123,63,
1111 N HUMBOLDT,CHI010,42124,66,
1111 N HUMBOLDT,CHI010,42125,72,
1111 N HUMBOLDT,CHI010,42126,88,
1111 N HUMBOLDT,CHI010,42127,68,
1111 N HUMBOLDT,CHI010,42128,55,
1111 N HUMBOLDT,CHI010,42129,60,
1111 N HUMBOLDT,CHI010,42130,57,
1111 N HUMBOLDT,CHI010,42131,74,
1111 N HUMBOLDT,CHI010,42132,49,
1111 N HUMBOLDT,CHI010,42133,96,
1111 N HUMBOLDT,CHI010,42134,93,
1111 N HUMBOLDT,CHI010,42135,51,
1111 N HUMBOLDT,CHI010,42136,57,
1111 N HUMBOLDT,CHI010,42137,71,
1111 N HUMBOLDT,CHI010,42138,54,
1111 N HUMBOLDT,CHI010,42139,60,
1111 N HUMBOLDT,CHI010,42140,98,
1111 N HUMBOLDT,CHI010,42141,84,
1111 N HUMBOLDT,CHI010,42142,48,
1111 N HUMBOLDT,CHI010,42143,54,
1111 N HUMBOLDT,CHI010,42144,50,
1111 N HUMBOLDT,CHI010,42145,77,
1111 N HUMBOLDT,CHI010,42146,65,
1111 N HUMBOLDT,CHI010,42147,99,
1111 N HUMBOLDT,CHI010,42148,58,
1111 N HUMBOLDT,CHI010,42149,77,
1111 N HUMBOLDT,CHI010,42150,48,
1111 N HUMBOLDT,CHI010,42151,54,
1111 N HUMBOLDT,CHI010,42152,39,
1111 N HUMBOLDT,CHI010,42153,51,
1111 N HUMBOLDT,CHI010,42154,27,
1111 N HUMBOLDT,CHI010,42155,63,
1111 N HUMBOLDT,CHI010,42156,42,
1111 N HUMBOLDT,CHI010,42157,40,
1111 N HUMBOLDT,CHI010,42158,48,
1111 N HUMBOLDT,CHI010,42159,39,
1111 N HUMBOLDT,CHI010,42160,48,
1111 N HUMBOLDT,CHI010,42161,80,
1111 N HUMBOLDT,CHI010,42162,69,
1111 N HUMBOLDT,CHI010,42163,53,
1111 N HUMBOLDT,CHI010,42164,57,
1111 N HUMBOLDT,CHI010,42165,54,
1111 N HUMBOLDT,CHI010,42166,45,
1111 N HUMBOLDT,CHI010,42167,49,
1111 N HUMBOLDT,CHI010,42168,87,
1111 N HUMBOLDT,CHI010,42169,75,
1111 N HUMBOLDT,CHI010,42170,30,
1111 N HUMBOLDT,CHI010,42171,67,
1111 N HUMBOLDT,CHI010,42172,40,
1111 N HUMBOLDT,CHI010,42173,28,
1111 N HUMBOLDT,CHI010,42174,46,
1111 N HUMBOLDT,CHI010,42175,34,
1111 N HUMBOLDT,CHI010,42176,53,
1111 N HUMBOLDT,CHI010,42177,40,
1111 N HUMBOLDT,CHI010,42178,58,
1111 N HUMBOLDT,CHI010,42179,47,
1111 N HUMBOLDT,CHI010,42180,66,
1111 N HUMBOLDT,CHI010,42181,46,
1111 N HUMBOLDT,CHI010,42182,88,
1111 N HUMBOLDT,CHI010,42183,71,
1111 N HUMBOLDT,CHI010,42184,45,
1111 N HUMBOLDT,CHI010,42185,51,
1111 N HUMBOLDT,CHI010,42186,56,
1111 N HUMBOLDT,CHI010,42187,60,
1111 N HUMBOLDT,CHI010,42188,78,
1111 N HUMBOLDT,CHI010,42189,75,
1111 N HUMBOLDT,CHI010,42190,82,
1111 N HUMBOLDT,CHI010,42191,55,
1111 N HUMBOLDT,CHI010,42192,61,
1111 N HUMBOLDT,CHI010,42193,42,
1111 N HUMBOLDT,CHI010,42194,49,
1111 N HUMBOLDT,CHI010,42195,64,
1111 N HUMBOLDT,CHI010,42196,69,
1111 N HUMBOLDT,CHI010,42197,66,
1111 N HUMBOLDT,CHI010,42198,46,
1111 N HUMBOLDT,CHI010,42199,60,
1111 N HUMBOLDT,CHI010,42200,68,
1111 N HUMBOLDT,CHI010,42201,39,
1111 N HUMBOLDT,CHI010,42202,78,
1111 N HUMBOLDT,CHI010,42203,64,
1111 N HUMBOLDT,CHI010,42204,78,
1111 N HUMBOLDT,CHI010,42205,54,
1111 N HUMBOLDT,CHI010,42206,63,
1111 N HUMBOLDT,CHI010,42207,50,
1111 N HUMBOLDT,CHI010,42208,58,
1111 N HUMBOLDT,CHI010,42209,51,
1111 N HUMBOLDT,CHI010,42210,60,
1111 N HUMBOLDT,CHI010,42211,72,
1111 N HUMBOLDT,CHI010,42212,54,
1111 N HUMBOLDT,CHI010,42213,66,
1111 N HUMBOLDT,CHI010,42214,53,
1111 N HUMBOLDT,CHI010,42215,62,
1111 N HUMBOLDT,CHI010,42216,61,
1111 N HUMBOLDT,CHI010,42217,77,
1111 N HUMBOLDT,CHI010,42218,57,
1111 N HUMBOLDT,CHI010,42219,64,
1111 N HUMBOLDT,CHI010,42220,53,
1111 N HUMBOLDT,CHI010,42221,70,
1111 N HUMBOLDT,CHI010,42222,53,
1111 N HUMBOLDT,CHI010,42223,70,
1111 N HUMBOLDT,CHI010,42224,94,
1111 N HUMBOLDT,CHI010,42225,65,
1111 N HUMBOLDT,CHI010,42226,58,
1111 N HUMBOLDT,CHI010,42227,55,
1111 N HUMBOLDT,CHI010,42228,52,
1111 N HUMBOLDT,CHI010,42229,54,
1111 N HUMBOLDT,CHI010,42230,79,
1111 N HUMBOLDT,CHI010,42231,89,
1111 N HUMBOLDT,CHI010,42232,76,
1111 N HUMBOLDT,CHI010,42233,64,
1111 N HUMBOLDT,CHI010,42234,38,
1111 N HUMBOLDT,CHI010,42235,55,
1111 N HUMBOLDT,CHI010,42236,66,
1111 N HUMBOLDT,CHI010,42237,73,
1111 N HUMBOLDT,CHI010,42238,95,
1111 N HUMBOLDT,CHI010,42239,64,
1111 N HUMBOLDT,CHI010,42240,59,
1111 N HUMBOLDT,CHI010,42241,49,
1111 N HUMBOLDT,CHI010,42242,57,
1111 N HUMBOLDT,CHI010,42243,68,
1111 N HUMBOLDT,CHI010,42244,67,
1111 N HUMBOLDT,CHI010,42245,41,
1111 N HUMBOLDT,CHI010,42246,86,
1111 N HUMBOLDT,CHI010,42247,62,
1111 N HUMBOLDT,CHI010,42248,53,
1111 N HUMBOLDT,CHI010,42249,60,
1111 N HUMBOLDT,CHI010,42250,41,
1111 N HUMBOLDT,CHI010,42251,61,
1111 N HUMBOLDT,CHI010,42252,61,
1111 N HUMBOLDT,CHI010,42253,82,
1111 N HUMBOLDT,CHI010,42254,70,
1111 N HUMBOLDT,CHI010,42255,36,
1111 N HUMBOLDT,CHI010,42256,46,
1111 N HUMBOLDT,CHI010,42257,41,
1111 N HUMBOLDT,CHI010,42258,46,
1111 N HUMBOLDT,CHI010,42259,76,
1111 N HUMBOLDT,CHI010,42260,78,
1111 N HUMBOLDT,CHI010,42261,65,
1111 N HUMBOLDT,CHI010,42262,55,
1111 N HUMBOLDT,CHI010,42263,54,
1111 N HUMBOLDT,CHI010,42264,52,
1111 N HUMBOLDT,CHI010,42265,39,
1111 N HUMBOLDT,CHI010,42266,80,
1111 N HUMBOLDT,CHI010,42267,75,
1111 N HUMBOLDT,CHI010,42268,50,
1111 N HUMBOLDT,CHI010,42269,43,
1111 N HUMBOLDT,CHI010,42270,53,
1111 N HUMBOLDT,CHI010,42271,50,
1111 N HUMBOLDT,CHI010,42272,59,
1111 N HUMBOLDT,CHI010,42273,86,
1111 N HUMBOLDT,CHI010,42274,64,
1111 N HUMBOLDT,CHI010,42275,41,
1111 N HUMBOLDT,CHI010,42276,41,
1111 N HUMBOLDT,CHI010,42277,59,
1111 N HUMBOLDT,CHI010,42278,60,
1111 N HUMBOLDT,CHI010,42279,63,
1111 N HUMBOLDT,CHI010,42280,82,
1111 N HUMBOLDT,CHI010,42281,66,
1111 N HUMBOLDT,CHI010,42282,48,
1111 N HUMBOLDT,CHI010,42283,54,
1111 N HUMBOLDT,CHI010,42284,60,
1111 N HUMBOLDT,CHI010,42285,71,
1111 N HUMBOLDT,CHI010,42286,68,
1111 N HUMBOLDT,CHI010,42287,82,
1111 N HUMBOLDT,CHI010,42288,87,
1111 N HUMBOLDT,CHI010,42289,72,
1111 N HUMBOLDT,CHI010,42290,53,
1111 N HUMBOLDT,CHI010,42291,65,
1111 N HUMBOLDT,CHI010,42292,59,
1111 N HUMBOLDT,CHI010,42293,56,
1111 N HUMBOLDT,CHI010,42294,91,
1111 N HUMBOLDT,CHI010,42295,96,
1111 N HUMBOLDT,CHI010,42296,62,
1111 N HUMBOLDT,CHI010,42297,35,
1111 N HUMBOLDT,CHI010,42298,61,
1111 N HUMBOLDT,CHI010,42299,62,
1111 N HUMBOLDT,CHI010,42300,55,
1111 N HUMBOLDT,CHI010,42301,75,
1111 N HUMBOLDT,CHI010,42302,90,
1111 N HUMBOLDT,CHI010,42303,69,
1111 N HUMBOLDT,CHI010,42304,56,
1111 N HUMBOLDT,CHI010,42305,39,
1111 N HUMBOLDT,CHI010,42306,42,
1111 N HUMBOLDT,CHI010,42307,71,
1111 N HUMBOLDT,CHI010,42308,42,
1111 N HUMBOLDT,CHI010,42309,79,
1111 N HUMBOLDT,CHI010,42310,63,
1111 N HUMBOLDT,CHI010,42311,67,
1111 N HUMBOLDT,CHI010,42312,52,
1111 N HUMBOLDT,CHI010,42313,70,
1111 N HUMBOLDT,CHI010,42314,65,
1111 N HUMBOLDT,CHI010,42315,87,
1111 N HUMBOLDT,CHI010,42316,79,
1111 N HUMBOLDT,CHI010,42317,57,
1111 N HUMBOLDT,CHI010,42318,66,
1111 N HUMBOLDT,CHI010,42319,53,
1111 N HUMBOLDT,CHI010,42320,44,
1111 N HUMBOLDT,CHI010,42321,66,
1111 N HUMBOLDT,CHI010,42322,81,
1111 N HUMBOLDT,CHI010,42323,82,
1111 N HUMBOLDT,CHI010,42324,38,
1111 N HUMBOLDT,CHI010,42325,32,
1111 N HUMBOLDT,CHI010,42326,51,
1111 N HUMBOLDT,CHI010,42327,53,
1111 N HUMBOLDT,CHI010,42328,53,
1111 N HUMBOLDT,CHI010,42329,14,
1111 N HUMBOLDT,CHI010,42330,38,
1111 N HUMBOLDT,CHI010,42331,35,
1111 N HUMBOLDT,CHI010,42332,44,
1111 N HUMBOLDT,CHI010,42333,58,
1111 N HUMBOLDT,CHI010,42334,56,
1111 N HUMBOLDT,CHI010,42335,43,
1111 N HUMBOLDT,CHI010,42336,69,
1111 N HUMBOLDT,CHI010,42337,60,
1111 N HUMBOLDT,CHI010,42338,39,
1111 N HUMBOLDT,CHI010,42339,35,
1111 N HUMBOLDT,CHI010,42340,40,
1111 N HUMBOLDT,CHI010,42341,45,
1111 N HUMBOLDT,CHI010,42342,52,
1111 N HUMBOLDT,CHI010,42343,75,
1111 N HUMBOLDT,CHI010,42344,62,
1111 N HUMBOLDT,CHI010,42345,46,
1111 N HUMBOLDT,CHI010,42346,35,
1111 N HUMBOLDT,CHI010,42347,38,
1111 N HUMBOLDT,CHI010,42348,50,
1111 N HUMBOLDT,CHI010,42349,55,
1111 N HUMBOLDT,CHI010,42350,56,
1111 N HUMBOLDT,CHI010,42351,33,
1111 N HUMBOLDT,CHI010,42352,35,
1111 N HUMBOLDT,CHI010,42353,49,
1111 N HUMBOLDT,CHI010,42354,46,
1111 N HUMBOLDT,CHI010,42355,55,
1111 N HUMBOLDT,CHI010,42356,49,
1111 N HUMBOLDT,CHI010,42357,82,
1111 N HUMBOLDT,CHI010,42358,73,
1111 N HUMBOLDT,CHI010,42359,36,
1111 N HUMBOLDT,CHI010,42360,46,
1111 N HUMBOLDT,CHI010,42361,50,
1111 N HUMBOLDT,CHI010,42362,75,
1111 N HUMBOLDT,CHI010,42363,71,
1111 N HUMBOLDT,CHI010,42364,34,
1111 N HUMBOLDT,CHI010,42365,65,
1111 N HUMBOLDT,CHI010,42366,6,
1111 N HUMBOLDT,CHI010,42367,23,
1111 N HUMBOLDT,CHI010,42368,54,
1111 N HUMBOLDT,CHI010,42369,51,
1111 N HUMBOLDT,CHI010,42370,53,
1111 N HUMBOLDT,CHI010,42371,62,
1111 N HUMBOLDT,CHI010,42372,42,
1111 N HUMBOLDT,CHI010,42373,32,
1111 N HUMBOLDT,CHI010,42374,47,
1111 N HUMBOLDT,CHI010,42375,28,
1111 N HUMBOLDT,CHI010,42376,46,
1111 N HUMBOLDT,CHI010,42377,23,
1111 N HUMBOLDT,CHI010,42378,39,
1111 N HUMBOLDT,CHI010,42379,56,
1111 N HUMBOLDT,CHI010,42380,36,
1111 N HUMBOLDT,CHI010,42381,29,
