Year,Month,Date,ICD Sub-Chapter,ICD Sub-Chapter Code,Deaths
1999,May,1999/05,Malnutrition,E40-E46,317
1999,May,1999/05,Obesity and other hyperalimentation,E65-E68,199
1999,May,1999/05,Other degenerative diseases of the nervous system,G30-G31,3365
1999,May,1999/05,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1077
1999,May,1999/05,"Diseases of arteries, arterioles and capillaries",I70-I78,3178
1999,May,1999/05,Influenza and pneumonia,J09-J18,4259
1999,May,1999/05,Chronic lower respiratory diseases,J40-J47,9526
1999,May,1999/05,Diseases of liver,K70-K76,2741
1999,May,1999/05,Transport accidents,V01-V99,4109
1999,May,1999/05,Intentional self-harm,X60-X84,2541
1999,Jun,1999/06,Tuberculosis,A16-A19,72
1999,Jun,1999/06,Other bacterial diseases,A30-A49,2297
1999,Jun,1999/06,Viral hepatitis,B15-B19,401
1999,Jun,1999/06,Human immunodeficiency virus [HIV] disease,B20-B24,1164
1999,Jun,1999/06,Sequelae of infectious and parasitic diseases,B90-B94,139
1999,Jun,1999/06,Diabetes mellitus,E10-E14,5030
1999,Jun,1999/06,Malnutrition,E40-E46,287
1999,Jun,1999/06,Obesity and other hyperalimentation,E65-E68,184
1999,Jun,1999/06,Other degenerative diseases of the nervous system,G30-G31,3078
1999,Jun,1999/06,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1012
1999,Jun,1999/06,"Diseases of arteries, arterioles and capillaries",I70-I78,3053
1999,Jun,1999/06,Influenza and pneumonia,J09-J18,3582
1999,Jun,1999/06,Chronic lower respiratory diseases,J40-J47,8621
1999,Jun,1999/06,Diseases of liver,K70-K76,2680
1999,Jun,1999/06,Transport accidents,V01-V99,3955
1999,Jun,1999/06,Intentional self-harm,X60-X84,2430
1999,Jul,1999/07,Tuberculosis,A16-A19,82
1999,Jul,1999/07,Other bacterial diseases,A30-A49,2331
1999,Jul,1999/07,Viral hepatitis,B15-B19,379
1999,Jul,1999/07,Human immunodeficiency virus [HIV] disease,B20-B24,1214
1999,Jul,1999/07,Sequelae of infectious and parasitic diseases,B90-B94,153
1999,Jul,1999/07,Diabetes mellitus,E10-E14,5230
1999,Jul,1999/07,Malnutrition,E40-E46,326
1999,Jul,1999/07,Obesity and other hyperalimentation,E65-E68,226
1999,Jul,1999/07,Other degenerative diseases of the nervous system,G30-G31,3265
1999,Jul,1999/07,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1033
1999,Jul,1999/07,"Diseases of arteries, arterioles and capillaries",I70-I78,3108
1999,Jul,1999/07,Influenza and pneumonia,J09-J18,3571
1999,Jul,1999/07,Chronic lower respiratory diseases,J40-J47,8464
1999,Jul,1999/07,Diseases of liver,K70-K76,2686
1999,Jul,1999/07,Transport accidents,V01-V99,4288
1999,Jul,1999/07,Intentional self-harm,X60-X84,2549
1999,Aug,1999/08,Tuberculosis,A16-A19,64
1999,Aug,1999/08,Other bacterial diseases,A30-A49,2404
1999,Aug,1999/08,Viral hepatitis,B15-B19,376
1999,Aug,1999/08,Human immunodeficiency virus [HIV] disease,B20-B24,1151
1999,Aug,1999/08,Sequelae of infectious and parasitic diseases,B90-B94,124
1999,Aug,1999/08,Diabetes mellitus,E10-E14,5114
1999,Aug,1999/08,Malnutrition,E40-E46,279
1999,Aug,1999/08,Obesity and other hyperalimentation,E65-E68,191
1999,Aug,1999/08,Other degenerative diseases of the nervous system,G30-G31,3315
1999,Aug,1999/08,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,999
1999,Aug,1999/08,"Diseases of arteries, arterioles and capillaries",I70-I78,3012
1999,Aug,1999/08,Influenza and pneumonia,J09-J18,3357
1999,Aug,1999/08,Chronic lower respiratory diseases,J40-J47,7971
1999,Aug,1999/08,Diseases of liver,K70-K76,2738
1999,Aug,1999/08,Transport accidents,V01-V99,4434
1999,Aug,1999/08,Intentional self-harm,X60-X84,2588
1999,Sep,1999/09,Tuberculosis,A16-A19,79
1999,Sep,1999/09,Other bacterial diseases,A30-A49,2365
1999,Sep,1999/09,Viral hepatitis,B15-B19,401
1999,Sep,1999/09,Human immunodeficiency virus [HIV] disease,B20-B24,1183
1999,Sep,1999/09,Sequelae of infectious and parasitic diseases,B90-B94,155
1999,Sep,1999/09,Diabetes mellitus,E10-E14,5230
1999,Sep,1999/09,Malnutrition,E40-E46,307
1999,Sep,1999/09,Obesity and other hyperalimentation,E65-E68,194
1999,Sep,1999/09,Other degenerative diseases of the nervous system,G30-G31,3391
1999,Sep,1999/09,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,963
1999,Sep,1999/09,"Diseases of arteries, arterioles and capillaries",I70-I78,3072
1999,Sep,1999/09,Influenza and pneumonia,J09-J18,3678
1999,Sep,1999/09,Chronic lower respiratory diseases,J40-J47,7888
1999,Sep,1999/09,Diseases of liver,K70-K76,2648
1999,Sep,1999/09,Transport accidents,V01-V99,4040
1999,Sep,1999/09,Intentional self-harm,X60-X84,2249
1999,Oct,1999/10,Tuberculosis,A16-A19,82
1999,Oct,1999/10,Other bacterial diseases,A30-A49,2568
1999,Oct,1999/10,Viral hepatitis,B15-B19,382
1999,Oct,1999/10,Human immunodeficiency virus [HIV] disease,B20-B24,1229
1999,Oct,1999/10,Sequelae of infectious and parasitic diseases,B90-B94,141
1999,Oct,1999/10,Diabetes mellitus,E10-E14,5515
1999,Oct,1999/10,Malnutrition,E40-E46,325
1999,Oct,1999/10,Obesity and other hyperalimentation,E65-E68,224
1999,Oct,1999/10,Other degenerative diseases of the nervous system,G30-G31,3859
1999,Oct,1999/10,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1045
1999,Oct,1999/10,"Diseases of arteries, arterioles and capillaries",I70-I78,3478
1999,Oct,1999/10,Influenza and pneumonia,J09-J18,4379
1999,Oct,1999/10,Chronic lower respiratory diseases,J40-J47,8931
1999,Oct,1999/10,Diseases of liver,K70-K76,2794
1999,Oct,1999/10,Transport accidents,V01-V99,4199
1999,Oct,1999/10,Intentional self-harm,X60-X84,2437
1999,Nov,1999/11,Tuberculosis,A16-A19,60
1999,Nov,1999/11,Other bacterial diseases,A30-A49,2677
1999,Nov,1999/11,Viral hepatitis,B15-B19,408
1999,Nov,1999/11,Human immunodeficiency virus [HIV] disease,B20-B24,1177
1999,Nov,1999/11,Sequelae of infectious and parasitic diseases,B90-B94,142
1999,Nov,1999/11,Diabetes mellitus,E10-E14,5459
1999,Nov,1999/11,Malnutrition,E40-E46,281
1999,Nov,1999/11,Obesity and other hyperalimentation,E65-E68,184
1999,Nov,1999/11,Other degenerative diseases of the nervous system,G30-G31,3911
1999,Nov,1999/11,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,996
1999,Nov,1999/11,"Diseases of arteries, arterioles and capillaries",I70-I78,3338
1999,Nov,1999/11,Influenza and pneumonia,J09-J18,4781
1999,Nov,1999/11,Chronic lower respiratory diseases,J40-J47,9182
1999,Nov,1999/11,Diseases of liver,K70-K76,2798
1999,Nov,1999/11,Transport accidents,V01-V99,3887
1999,Nov,1999/11,Intentional self-harm,X60-X84,2423
1999,Dec,1999/12,Tuberculosis,A16-A19,84
1999,Dec,1999/12,Other bacterial diseases,A30-A49,3183
1999,Dec,1999/12,Viral hepatitis,B15-B19,439
1999,Dec,1999/12,Human immunodeficiency virus [HIV] disease,B20-B24,1302
1999,Dec,1999/12,Sequelae of infectious and parasitic diseases,B90-B94,145
1999,Dec,1999/12,Diabetes mellitus,E10-E14,6527
1999,Dec,1999/12,Malnutrition,E40-E46,353
1999,Dec,1999/12,Obesity and other hyperalimentation,E65-E68,272
1999,Dec,1999/12,Other degenerative diseases of the nervous system,G30-G31,4593
1999,Dec,1999/12,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1187
1999,Dec,1999/12,"Diseases of arteries, arterioles and capillaries",I70-I78,3858
1999,Dec,1999/12,Influenza and pneumonia,J09-J18,7320
1999,Dec,1999/12,Chronic lower respiratory diseases,J40-J47,12395
1999,Dec,1999/12,Diseases of liver,K70-K76,3067
1999,Dec,1999/12,Transport accidents,V01-V99,3961
1999,Dec,1999/12,Intentional self-harm,X60-X84,2236
2000,Jan,2000/01,Tuberculosis,A16-A19,68
2000,Jan,2000/01,Other bacterial diseases,A30-A49,3705
2000,Jan,2000/01,Viral hepatitis,B15-B19,462
2000,Jan,2000/01,Human immunodeficiency virus [HIV] disease,B20-B24,1409
2000,Jan,2000/01,Sequelae of infectious and parasitic diseases,B90-B94,154
2000,Jan,2000/01,Diabetes mellitus,E10-E14,7134
2000,Jan,2000/01,Malnutrition,E40-E46,443
2000,Jan,2000/01,Obesity and other hyperalimentation,E65-E68,314
2000,Jan,2000/01,Other degenerative diseases of the nervous system,G30-G31,5431
2000,Jan,2000/01,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1267
2000,Jan,2000/01,"Diseases of arteries, arterioles and capillaries",I70-I78,3927
2000,Jan,2000/01,Influenza and pneumonia,J09-J18,12191
2000,Jan,2000/01,Chronic lower respiratory diseases,J40-J47,15884
2000,Jan,2000/01,Diseases of liver,K70-K76,3233
2000,Jan,2000/01,Transport accidents,V01-V99,3602
2000,Jan,2000/01,Intentional self-harm,X60-X84,2586
2000,Feb,2000/02,Tuberculosis,A16-A19,69
2000,Feb,2000/02,Other bacterial diseases,A30-A49,2997
2000,Feb,2000/02,Viral hepatitis,B15-B19,430
2000,Feb,2000/02,Human immunodeficiency virus [HIV] disease,B20-B24,1202
2000,Feb,2000/02,Sequelae of infectious and parasitic diseases,B90-B94,121
2000,Feb,2000/02,Diabetes mellitus,E10-E14,5863
2000,Feb,2000/02,Malnutrition,E40-E46,399
2000,Feb,2000/02,Obesity and other hyperalimentation,E65-E68,246
2000,Feb,2000/02,Other degenerative diseases of the nervous system,G30-G31,4410
2000,Feb,2000/02,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1170
2000,Feb,2000/02,"Diseases of arteries, arterioles and capillaries",I70-I78,3469
2000,Feb,2000/02,Influenza and pneumonia,J09-J18,6880
2000,Feb,2000/02,Chronic lower respiratory diseases,J40-J47,11465
2000,Feb,2000/02,Diseases of liver,K70-K76,2758
2000,Feb,2000/02,Transport accidents,V01-V99,3063
2000,Feb,2000/02,Intentional self-harm,X60-X84,2337
2000,Mar,2000/03,Tuberculosis,A16-A19,63
2000,Mar,2000/03,Other bacterial diseases,A30-A49,2737
2000,Mar,2000/03,Viral hepatitis,B15-B19,443
2000,Mar,2000/03,Human immunodeficiency virus [HIV] disease,B20-B24,1233
2000,Mar,2000/03,Sequelae of infectious and parasitic diseases,B90-B94,127
2000,Mar,2000/03,Diabetes mellitus,E10-E14,5827
2000,Mar,2000/03,Malnutrition,E40-E46,363
2000,Mar,2000/03,Obesity and other hyperalimentation,E65-E68,227
2000,Mar,2000/03,Other degenerative diseases of the nervous system,G30-G31,4032
2000,Mar,2000/03,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1073
2000,Mar,2000/03,"Diseases of arteries, arterioles and capillaries",I70-I78,3373
2000,Mar,2000/03,Influenza and pneumonia,J09-J18,5476
2000,Mar,2000/03,Chronic lower respiratory diseases,J40-J47,10799
2000,Mar,2000/03,Diseases of liver,K70-K76,2884
2000,Mar,2000/03,Transport accidents,V01-V99,3475
2000,Mar,2000/03,Intentional self-harm,X60-X84,2518
2000,Apr,2000/04,Tuberculosis,A16-A19,62
2000,Apr,2000/04,Other bacterial diseases,A30-A49,2537
2000,Apr,2000/04,Viral hepatitis,B15-B19,415
2000,Apr,2000/04,Human immunodeficiency virus [HIV] disease,B20-B24,1196
2000,Apr,2000/04,Sequelae of infectious and parasitic diseases,B90-B94,103
2000,Apr,2000/04,Diabetes mellitus,E10-E14,5500
2000,Apr,2000/04,Malnutrition,E40-E46,259
2000,Apr,2000/04,Obesity and other hyperalimentation,E65-E68,243
2000,Apr,2000/04,Other degenerative diseases of the nervous system,G30-G31,3709
2000,Apr,2000/04,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,975
2000,Apr,2000/04,"Diseases of arteries, arterioles and capillaries",I70-I78,3275
2000,Apr,2000/04,Influenza and pneumonia,J09-J18,4693
2000,Apr,2000/04,Chronic lower respiratory diseases,J40-J47,9589
2000,Apr,2000/04,Diseases of liver,K70-K76,2609
2000,Apr,2000/04,Transport accidents,V01-V99,3741
2000,Apr,2000/04,Intentional self-harm,X60-X84,2480
2000,May,2000/05,Tuberculosis,A16-A19,63
2000,May,2000/05,Other bacterial diseases,A30-A49,2414
2000,May,2000/05,Viral hepatitis,B15-B19,467
2000,May,2000/05,Human immunodeficiency virus [HIV] disease,B20-B24,1235
2000,May,2000/05,Sequelae of infectious and parasitic diseases,B90-B94,111
2000,May,2000/05,Diabetes mellitus,E10-E14,5515
2000,May,2000/05,Malnutrition,E40-E46,309
2000,May,2000/05,Obesity and other hyperalimentation,E65-E68,253
2000,May,2000/05,Other degenerative diseases of the nervous system,G30-G31,3788
2000,May,2000/05,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1088
2000,May,2000/05,"Diseases of arteries, arterioles and capillaries",I70-I78,3211
2000,May,2000/05,Influenza and pneumonia,J09-J18,4259
2000,May,2000/05,Chronic lower respiratory diseases,J40-J47,9372
2000,May,2000/05,Diseases of liver,K70-K76,2739
2000,May,2000/05,Transport accidents,V01-V99,4004
2000,May,2000/05,Intentional self-harm,X60-X84,2622
2000,Jun,2000/06,Tuberculosis,A16-A19,52
2000,Jun,2000/06,Other bacterial diseases,A30-A49,2374
2000,Jun,2000/06,Viral hepatitis,B15-B19,431
2000,Jun,2000/06,Human immunodeficiency virus [HIV] disease,B20-B24,1179
2000,Jun,2000/06,Sequelae of infectious and parasitic diseases,B90-B94,90
2000,Jun,2000/06,Diabetes mellitus,E10-E14,5274
2000,Jun,2000/06,Malnutrition,E40-E46,275
2000,Jun,2000/06,Obesity and other hyperalimentation,E65-E68,227
2000,Jun,2000/06,Other degenerative diseases of the nervous system,G30-G31,3328
2000,Jun,2000/06,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,987
2000,Jun,2000/06,"Diseases of arteries, arterioles and capillaries",I70-I78,3011
2000,Jun,2000/06,Influenza and pneumonia,J09-J18,3987
2000,Jun,2000/06,Chronic lower respiratory diseases,J40-J47,8892
2000,Jun,2000/06,Diseases of liver,K70-K76,2726
2000,Jun,2000/06,Transport accidents,V01-V99,4019
2000,Jun,2000/06,Intentional self-harm,X60-X84,2442
2000,Jul,2000/07,Tuberculosis,A16-A19,65
2000,Jul,2000/07,Other bacterial diseases,A30-A49,2437
2000,Jul,2000/07,Viral hepatitis,B15-B19,444
2000,Jul,2000/07,Human immunodeficiency virus [HIV] disease,B20-B24,1200
2000,Jul,2000/07,Sequelae of infectious and parasitic diseases,B90-B94,82
2000,Jul,2000/07,Diabetes mellitus,E10-E14,5278
2000,Jul,2000/07,Malnutrition,E40-E46,299
2000,Jul,2000/07,Obesity and other hyperalimentation,E65-E68,222
2000,Jul,2000/07,Other degenerative diseases of the nervous system,G30-G31,3775
2000,Jul,2000/07,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,996
2000,Jul,2000/07,"Diseases of arteries, arterioles and capillaries",I70-I78,3133
2000,Jul,2000/07,Influenza and pneumonia,J09-J18,3867
2000,Jul,2000/07,Chronic lower respiratory diseases,J40-J47,8885
2000,Jul,2000/07,Diseases of liver,K70-K76,2729
2000,Jul,2000/07,Transport accidents,V01-V99,4484
2000,Jul,2000/07,Intentional self-harm,X60-X84,2478
2000,Aug,2000/08,Tuberculosis,A16-A19,78
2000,Aug,2000/08,Other bacterial diseases,A30-A49,2507
2000,Aug,2000/08,Viral hepatitis,B15-B19,452
2000,Aug,2000/08,Human immunodeficiency virus [HIV] disease,B20-B24,1159
2000,Aug,2000/08,Sequelae of infectious and parasitic diseases,B90-B94,96
2000,Aug,2000/08,Diabetes mellitus,E10-E14,5400
2000,Aug,2000/08,Malnutrition,E40-E46,314
2000,Aug,2000/08,Obesity and other hyperalimentation,E65-E68,261
2000,Aug,2000/08,Other degenerative diseases of the nervous system,G30-G31,3812
2000,Aug,2000/08,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1024
2000,Aug,2000/08,"Diseases of arteries, arterioles and capillaries",I70-I78,3213
2000,Aug,2000/08,Influenza and pneumonia,J09-J18,3940
2000,Aug,2000/08,Chronic lower respiratory diseases,J40-J47,8519
2000,Aug,2000/08,Diseases of liver,K70-K76,2685
2000,Aug,2000/08,Transport accidents,V01-V99,4295
2000,Aug,2000/08,Intentional self-harm,X60-X84,2556
2000,Sep,2000/09,Tuberculosis,A16-A19,51
2000,Sep,2000/09,Other bacterial diseases,A30-A49,2490
2000,Sep,2000/09,Viral hepatitis,B15-B19,432
2000,Sep,2000/09,Human immunodeficiency virus [HIV] disease,B20-B24,1117
2000,Sep,2000/09,Sequelae of infectious and parasitic diseases,B90-B94,108
2000,Sep,2000/09,Diabetes mellitus,E10-E14,5324
2000,Sep,2000/09,Malnutrition,E40-E46,281
2000,Sep,2000/09,Obesity and other hyperalimentation,E65-E68,209
2000,Sep,2000/09,Other degenerative diseases of the nervous system,G30-G31,3973
2000,Sep,2000/09,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1038
2000,Sep,2000/09,"Diseases of arteries, arterioles and capillaries",I70-I78,3123
2000,Sep,2000/09,Influenza and pneumonia,J09-J18,3997
2000,Sep,2000/09,Chronic lower respiratory diseases,J40-J47,8492
2000,Sep,2000/09,Diseases of liver,K70-K76,2637
2000,Sep,2000/09,Transport accidents,V01-V99,4107
2000,Sep,2000/09,Intentional self-harm,X60-X84,2334
2000,Oct,2000/10,Tuberculosis,A16-A19,71
2000,Oct,2000/10,Other bacterial diseases,A30-A49,2669
2000,Oct,2000/10,Viral hepatitis,B15-B19,442
2000,Oct,2000/10,Human immunodeficiency virus [HIV] disease,B20-B24,1181
2000,Oct,2000/10,Sequelae of infectious and parasitic diseases,B90-B94,109
2000,Oct,2000/10,Diabetes mellitus,E10-E14,5789
2000,Oct,2000/10,Malnutrition,E40-E46,316
2000,Oct,2000/10,Obesity and other hyperalimentation,E65-E68,269
2000,Oct,2000/10,Other degenerative diseases of the nervous system,G30-G31,4655
2000,Oct,2000/10,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1048
2000,Oct,2000/10,"Diseases of arteries, arterioles and capillaries",I70-I78,3521
2000,Oct,2000/10,Influenza and pneumonia,J09-J18,4650
2000,Oct,2000/10,Chronic lower respiratory diseases,J40-J47,9183
2000,Oct,2000/10,Diseases of liver,K70-K76,2988
2000,Oct,2000/10,Transport accidents,V01-V99,4105
2000,Oct,2000/10,Intentional self-harm,X60-X84,2475
2000,Nov,2000/11,Tuberculosis,A16-A19,70
2000,Nov,2000/11,Other bacterial diseases,A30-A49,2717
2000,Nov,2000/11,Viral hepatitis,B15-B19,466
2000,Nov,2000/11,Human immunodeficiency virus [HIV] disease,B20-B24,1153
2000,Nov,2000/11,Sequelae of infectious and parasitic diseases,B90-B94,69
2000,Nov,2000/11,Diabetes mellitus,E10-E14,5895
2000,Nov,2000/11,Malnutrition,E40-E46,308
2000,Nov,2000/11,Obesity and other hyperalimentation,E65-E68,243
2000,Nov,2000/11,Other degenerative diseases of the nervous system,G30-G31,4520
2000,Nov,2000/11,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1148
2000,Nov,2000/11,"Diseases of arteries, arterioles and capillaries",I70-I78,3400
2000,Nov,2000/11,Influenza and pneumonia,J09-J18,4996
2000,Nov,2000/11,Chronic lower respiratory diseases,J40-J47,9558
2000,Nov,2000/11,Diseases of liver,K70-K76,2824
2000,Nov,2000/11,Transport accidents,V01-V99,3636
2000,Nov,2000/11,Intentional self-harm,X60-X84,2272
2000,Dec,2000/12,Tuberculosis,A16-A19,64
2000,Dec,2000/12,Other bacterial diseases,A30-A49,3147
2000,Dec,2000/12,Viral hepatitis,B15-B19,473
2000,Dec,2000/12,Human immunodeficiency virus [HIV] disease,B20-B24,1214
2000,Dec,2000/12,Sequelae of infectious and parasitic diseases,B90-B94,111
2000,Dec,2000/12,Diabetes mellitus,E10-E14,6502
2000,Dec,2000/12,Malnutrition,E40-E46,360
2000,Dec,2000/12,Obesity and other hyperalimentation,E65-E68,277
2000,Dec,2000/12,Other degenerative diseases of the nervous system,G30-G31,5439
2000,Dec,2000/12,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1233
2000,Dec,2000/12,"Diseases of arteries, arterioles and capillaries",I70-I78,3773
2000,Dec,2000/12,Influenza and pneumonia,J09-J18,6377
2000,Dec,2000/12,Chronic lower respiratory diseases,J40-J47,11371
2000,Dec,2000/12,Diseases of liver,K70-K76,3041
2000,Dec,2000/12,Transport accidents,V01-V99,3728
2000,Dec,2000/12,Intentional self-harm,X60-X84,2219
2001,Jan,2001/01,Tuberculosis,A16-A19,71
2001,Jan,2001/01,Other bacterial diseases,A30-A49,3267
2001,Jan,2001/01,Viral hepatitis,B15-B19,479
2001,Jan,2001/01,Human immunodeficiency virus [HIV] disease,B20-B24,1385
2001,Jan,2001/01,Sequelae of infectious and parasitic diseases,B90-B94,147
2001,Jan,2001/01,Diabetes mellitus,E10-E14,6878
2001,Jan,2001/01,Malnutrition,E40-E46,349
2001,Jan,2001/01,Obesity and other hyperalimentation,E65-E68,273
2001,Jan,2001/01,Other degenerative diseases of the nervous system,G30-G31,5534
2001,Jan,2001/01,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1283
2001,Jan,2001/01,"Diseases of arteries, arterioles and capillaries",I70-I78,3641
2001,Jan,2001/01,Influenza and pneumonia,J09-J18,7270
2001,Jan,2001/01,Chronic lower respiratory diseases,J40-J47,12572
2001,Jan,2001/01,Diseases of liver,K70-K76,3065
2001,Jan,2001/01,Transport accidents,V01-V99,3250
2001,Jan,2001/01,Intentional self-harm,X60-X84,2497
2001,Feb,2001/02,Tuberculosis,A16-A19,69
2001,Feb,2001/02,Other bacterial diseases,A30-A49,2892
2001,Feb,2001/02,Viral hepatitis,B15-B19,452
2001,Feb,2001/02,Human immunodeficiency virus [HIV] disease,B20-B24,1183
2001,Feb,2001/02,Sequelae of infectious and parasitic diseases,B90-B94,132
2001,Feb,2001/02,Diabetes mellitus,E10-E14,5900
2001,Feb,2001/02,Malnutrition,E40-E46,299
2001,Feb,2001/02,Obesity and other hyperalimentation,E65-E68,249
2001,Feb,2001/02,Other degenerative diseases of the nervous system,G30-G31,4562
2001,Feb,2001/02,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1116
2001,Feb,2001/02,"Diseases of arteries, arterioles and capillaries",I70-I78,3317
2001,Feb,2001/02,Influenza and pneumonia,J09-J18,6061
2001,Feb,2001/02,Chronic lower respiratory diseases,J40-J47,11213
2001,Feb,2001/02,Diseases of liver,K70-K76,2784
2001,Feb,2001/02,Transport accidents,V01-V99,3047
2001,Feb,2001/02,Intentional self-harm,X60-X84,2320
2001,Mar,2001/03,Tuberculosis,A16-A19,77
2001,Mar,2001/03,Other bacterial diseases,A30-A49,3085
